192,257,288,257,288,281,192,281
292,261,354,261,354,285,292,285
357,268,426,268,426,288,357,288
430,270,503,275,501,297,428,291
209,288,257,288,257,312,209,312
264,292,309,292,309,316,264,316
312,295,367,295,367,319,312,319
374,299,422,299,422,323,374,323
426,302,453,302,453,323,426,323
467,305,505,305,505,326,467,326
209,316,233,316,233,336,209,336
250,316,305,316,305,340,250,340
312,323,367,323,367,347,312,347
374,326,412,326,412,347,374,347
426,325,513,334,511,359,424,349
1392,323,1464,323,1464,350,1392,350
508,331,568,336,566,358,507,353
570,335,681,341,680,364,569,359
694,343,749,343,749,364,694,364
766,345,823,350,821,372,764,367
911,361,1215,378,1212,425,908,408
1216,381,1282,381,1282,426,1216,426
1286,382,1459,391,1456,437,1283,429
1134,439,1218,444,1216,468,1133,463
952,467,996,467,996,488,952,488
1003,468,1111,473,1110,496,1002,491
1110,474,1141,474,1141,495,1110,495
178,477,199,477,199,498,178,498
1141,476,1265,481,1264,504,1140,498
202,479,293,485,291,507,201,502
292,484,357,484,357,508,292,508
1265,484,1392,484,1392,508,1265,508
360,491,426,491,426,512,360,512
429,494,502,498,501,513,429,509
1110,505,1179,505,1179,525,1110,525
1179,508,1247,508,1247,529,1179,529
199,512,264,512,264,536,199,536
275,515,379,520,378,544,273,539
385,521,482,528,480,551,383,544
488,526,565,532,563,554,486,548
560,532,594,532,594,553,560,553
845,532,866,532,866,553,845,553
866,531,939,537,937,561,864,555
195,536,240,536,240,556,195,556
247,536,285,536,285,560,247,560
601,534,678,539,676,561,600,556
938,536,1020,536,1020,560,938,560
292,543,347,543,347,563,292,563
362,541,418,550,415,572,358,562
415,550,450,550,450,567,415,567
453,550,470,550,470,570,453,570
478,547,534,553,532,576,475,570
546,556,605,556,605,577,546,577
608,560,632,560,632,577,608,577
639,560,704,560,704,584,639,584
866,574,914,574,914,605,866,605
921,580,1045,580,1045,611,921,611
1051,587,1082,587,1082,615,1051,615
1089,587,1168,587,1168,618,1089,618
842,624,939,628,938,650,841,646
866,660,941,660,941,680,866,680
948,663,972,663,972,684,948,684
1010,666,1055,666,1055,690,1010,690
1072,670,1158,670,1158,694,1072,694
1161,673,1199,673,1199,694,1161,694
1213,677,1258,677,1258,701,1213,701
189,679,276,687,274,708,187,700
1265,680,1313,680,1313,704,1265,704
1326,684,1371,684,1371,704,1326,704
275,687,333,687,333,708,275,708
189,715,233,715,233,735,189,735
261,718,316,718,316,739,261,739
323,721,367,721,367,742,323,742
189,739,213,739,213,759,189,759
237,739,314,744,312,767,236,762
319,745,367,745,367,766,319,766
185,763,209,763,209,783,185,783
234,763,314,770,312,792,232,786
319,770,395,770,395,794,319,794
182,790,209,790,209,811,182,811
213,790,240,790,240,811,213,811
244,794,326,794,326,814,244,814
326,797,354,797,354,818,326,818
357,800,391,800,391,818,357,818
409,800,457,800,457,821,409,821
158,883,178,883,178,904,158,904
176,881,238,886,236,909,174,903
237,886,257,886,257,907,237,907
257,893,305,893,305,904,257,904
560,906,647,911,646,930,559,925
663,914,711,914,711,931,663,931
495,938,525,938,525,965,495,965
1206,941,1282,941,1282,965,1206,965
536,945,629,945,629,969,536,969
629,946,925,963,923,995,627,978
446,965,488,965,488,986,446,986
498,965,525,965,525,990,498,990
924,965,990,965,990,990,924,990
574,970,654,975,652,998,572,993
653,975,822,980,821,1007,652,1002
443,990,550,990,550,1014,443,1014
560,996,639,996,639,1020,560,1020
752,996,862,996,862,1031,752,1031
677,1003,756,1003,756,1027,677,1027
457,1014,522,1014,522,1038,457,1038
532,1020,598,1020,598,1045,532,1045
608,1024,663,1024,663,1048,608,1048
591,1148,632,1148,632,1172,591,1172
629,1151,670,1151,670,1172,629,1172
753,1145,850,1151,848,1184,751,1178
849,1158,890,1158,890,1182,849,1182
986,1168,1069,1168,1069,1192,986,1192
563,1172,632,1172,632,1196,563,1196
1179,1175,1303,1183,1302,1209,1177,1201
1361,1189,1440,1189,1440,1213,1361,1213
